username,post_id,timestamp,likes,comments,followers,engagement_rate,sponsored,is_video,caption,img_file,tier,caption_clean,sentiment_score,caption_length,hashtag_count,emoji_count,has_cta
jedan711,1829231107826494086,1532281362,178,0,7878.0,0.0225945671490225,0,0,#polaroids #digitals #model #nyc #newyorkcity #commercialmodel #beautymodel #hairmodel #jenhair #latina #browneyes #ginger,info\jedan711-1829231107826494086.jpg,micro,polaroids digitals model nyc newyorkcity commercialmodel beautymodel hairmodel jenhair latina browneyes ginger,0.0,122,12,0,0
ooh.mee,1924310888064755426,1543615755,11475,66,202206.0,0.0570754577015518,0,0,29.11.18 🤪,info\ooh.mee-1924310888064755426.jpg,macro,,0.0,10,0,1,0
swalina,1998155492636976847,1552418718,60092,0,450119.0,0.1335024737902643,0,0,child of the moon 🌙 @marieschmidtcom,info\swalina-1998155492636976847.jpg,macro,child of the moon 🌙,0.0,36,0,1,0
glam.glimmers,1952382315867152792,1546962130,22576,478,484968.0,0.0475371570907771,0,0,"@elysian360 Wow all that hair 😍 Which one is your favourite? 1,2,3,4 or 5 ? Swipe to 👉🏼👉🏼👉🏼 to see all! @miaaflalo",info\glam.glimmers-1952382315867152792.jpg,macro,"Wow all that hair 😍 Which one is your favourite? 1,2,3,4 or 5 ? Swipe to 👉🏼👉🏼👉🏼 to see all!",0.8221,114,0,7,1
fays._,1791119100102367429,1527738057,35593,168,695865.0,0.0513907151530828,0,0,"Bracitos de alambre, se tragaron una ciruela 💪🏻 de a poquito tomando forma! En @gymsalud_e_imagen ✨ con el mejor entrenador 💪🏻
Miau miau miau 🐱 
#gymshark #gymsharkwomen #brazosdehilo #memuerodeldolorctm #waaaaaaaa #alfedocamatepofavo #gymgirl",info\fays._-1791119100102367429.jpg,macro,"Bracitos de alambre, se tragaron una ciruela 💪🏻 de a poquito tomando forma! En ✨ con el mejor entrenador 💪🏻 Miau miau miau 🐱 gymshark gymsharkwomen brazosdehilo memuerodeldolorctm waaaaaaaa alfedocamatepofavo gymgirl",0.0,243,7,6,0
sofielindgren.se,1713319431930930664,1518463613,791,22,10099.0,0.0805030201010001,0,0,Bara jag som älskar fjädrar? ✨#interiordesign#details#decoration#pintrest,info\sofielindgren.se-1713319431930930664.jpg,micro,Bara jag som älskar fjädrar? ✨interiordesigndetailsdecorationpintrest,0.0,73,4,1,0
donialuvsu,1697299609776220804,1516553902,3322,51,226598.0,0.0148853917510304,0,0,Filming a Q&A on our marriage 1 year later ! Comment your questions below and ask ANYTHING YOU WANT! This is A follow up from our first Q&A last year the link is in my bio :),info\donialuvsu-1697299609776220804.jpg,macro,Filming a Q&A on our marriage 1 year later ! Comment your questions below and ask ANYTHING YOU WANT! This is A follow up from our first Q&A last year the link is in my bio :),0.555,174,0,0,0
kaysalbeautyxo,1886390934310327735,1539095344,125,0,2243.0,0.055728934462773,0,0,"I think these lashes have become my favorite! 💖

Products used:

Eyes: 
P Louise base 
Colourpop x Kathleenlights zodiac palette
Nyx pearl pigment in nude
Pixi liquid fairy light in ‘crystalline’
Physicians formula eye booster eyeliner 
Tarte tarteist mascara 
Pop Beauty brow duette 
Glossier boy brow in clear
House of lashes in boudoir 
Face: 
Tatcha silk canvas primer 
Hourglass vanish foundation 
Tarte shape tape 
Rcma no color powder 
Physicians formula bronze booster
Elf dark blush palette 
Essence pure nude highlight 
Morphe continuous setting spray 
Lips: 
Colourpop  x Kathleenlights  moon child lip gloss and echo park ultra satin liquid lipstick 
@plouise_makeup_academy @colourpopcosmetics @kathleenlights @nyxcosmetics @pixibeauty @physiciansformula @tartecosmetics @pop_beauty @glossier @houseoflashes @tatcha @hourglasscosmetics @essencemakeup @essence_cosmetics @elfcosmetics @morphebrushes #plouisebase #colourpopcosmetics #kathleenlights #kathleenlightsxcolourpop #colourpopxkathleenlights #nyxcosmetics #pixibeauty #physiciansformula #tartecosmetics #popbeauty #poppin #glossier #houseoflashes #tatcha #tatchaskincare #tatchasilkcanvas #hourglasscosmetics #essencemakeup #elfcosmetics #morphebrushes",info\kaysalbeautyxo-1886390934310327735.jpg,micro,I think these lashes have become my favorite! 💖 Products used: Eyes: P Louise base Colourpop x Kathleenlights zodiac palette Nyx pearl pigment in nude Pixi liquid fairy light in crystalline Physicians formula eye booster eyeliner Tarte tarteist mascara Pop Beauty brow duette Glossier boy brow in clear House of lashes in boudoir Face: Tatcha silk canvas primer Hourglass vanish foundation Tarte shape tape Rcma no color powder Physicians formula bronze booster Elf dark blush palette Essence pure nude highlight Morphe continuous setting spray Lips: Colourpop x Kathleenlights moon child lip gloss and echo park ultra satin liquid lipstick plouisebase colourpopcosmetics kathleenlights kathleenlightsxcolourpop colourpopxkathleenlights nyxcosmetics pixibeauty physiciansformula tartecosmetics popbeauty poppin glossier houseoflashes tatcha tatchaskincare tatchasilkcanvas hourglasscosmetics essencemakeup elfcosmetics morphebrushes,0.7424,1223,20,1,0
sissys_headwrap,1869856881197876648,1537124332,27,0,3377.0,0.0079952620669233,0,0,"All praises to the Most High Its time for September's #SissyGiveaway sponsored by @wrappedbynellz 💜 Details of how to enter are listed below. Tutorials are due midnight September 16th Pst. Winner will be chosen September 23rd!

1. Create a 1 min or less video Showing us Sisters How you wrap your Headwrap incorporating A flavor element of one of the tribes of Israel (Beautiful Face must be shown) 
2. Post your tutorial  on your Instagram page, Tag 3 sister & @sissys_headwrap

3. In addition to posting your video on your personal page Direct message @sissys_headwrap letting your sissy know you posted 💜 Winner must Post wearing  headwrap within 1 week of receiving prize 🌻

SISSY with the most likes on @sissys_headwrap will receive The ""Motherland"" headwrap above from @wrappedbynellz & a Headwrap Volumizer !!!",info\sissys_headwrap-1869856881197876648.jpg,micro,"All praises to the Most High Its time for September's SissyGiveaway sponsored by 💜 Details of how to enter are listed below. Tutorials are due midnight September 16th Pst. Winner will be chosen September 23rd! 1. Create a 1 min or less video Showing us Sisters How you wrap your Headwrap incorporating A flavor element of one of the tribes of Israel (Beautiful Face must be shown) 2. Post your tutorial  on your Instagram page, Tag 3 sister & 3. In addition to posting your video on your personal page Direct message letting your sissy know you posted 💜 Winner must Post wearing  headwrap within 1 week of receiving prize 🌻 SISSY with the most likes on will receive The ""Motherland"" headwrap above from & a Headwrap Volumizer !!!",0.6981,817,1,3,0
brushinarushbyjr,1406724172537459163,1481914610,25,1,5894.0,0.004411265693926,0,0,In #love with the new #alchemistholographicpalette by @katvondbeauty has a great pigmentation.,info\brushinarushbyjr-1406724172537459163.jpg,micro,In love with the new alchemistholographicpalette by has a great pigmentation.,0.8442,94,2,0,0
